,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
245,how to add bots to discord,81.25,52.25,62.6,40.75,38.75,48.2,42.75,44.5,32.0,40.5,59.25,51.8
246,discord youtube bots,18.75,22.0,74.8,47.5,29.0,29.8,44.75,38.75,21.6,17.25,12.5,33.8
247,youtube bots,37.25,39.75,73.4,58.0,42.5,48.0,59.0,51.5,35.2,32.5,45.0,32.8
248,discord bots mee6,84.25,60.25,73.2,63.25,38.25,56.8,72.0,59.0,64.6,41.25,46.75,62.4
249,bots to add to discord server,64.5,41.0,26.4,27.5,29.0,34.8,31.75,56.25,24.6,37.0,34.75,46.6
250,add bots to discord server,63.5,37.0,31.0,33.75,33.75,38.2,39.75,36.25,32.0,28.5,40.0,64.0
251,music bots for discord,25.5,8.25,20.2,37.5,31.0,31.6,37.5,14.0,31.4,17.25,26.0,43.4
252,how to add bots to discord server,79.25,39.75,29.0,36.5,24.5,43.0,45.0,36.5,23.6,24.25,29.75,60.4
253,how to make discord bots,38.75,42.5,70.6,65.75,30.5,22.2,66.0,65.25,38.2,59.25,47.25,34.2
254,best bots for discord,33.0,34.5,32.4,28.25,30.25,33.8,43.75,29.0,43.8,26.0,27.0,31.4
255,discord music bots 2023,0.0,2.5,0.0,1.5,1.5,0.8,13.25,9.75,4.8,4.0,6.0,27.6
256,music bots for discord 2023,2.5,1.5,2.2,0.0,0.0,0.0,16.5,5.75,5.2,7.0,11.5,24.8
257,best music bots for discord 2023,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.25,1.0,0.0,2.0,23.4
258,vimeo,16.75,16.0,17.0,21.5,15.0,17.2,16.75,36.25,54.0,15.5,14.5,13.0
259,discord ai bots,27.0,24.75,11.6,17.0,26.5,4.0,37.25,16.75,44.6,31.5,59.75,37.6
260,uzox discord bot,6.5,5.5,24.0,5.75,17.25,7.8,19.5,20.5,14.6,19.25,15.75,38.2
261,discord music bots that support youtube,6.5,0.0,43.8,41.0,31.25,5.2,19.5,28.75,19.8,0.0,12.0,10.0
262,discord bots that support youtube,13.5,11.75,39.4,30.75,33.25,9.8,39.5,35.75,4.4,20.75,6.75,10.2
263,discord bots that play youtube,30.0,17.25,55.0,68.0,16.5,27.4,11.0,6.5,11.0,7.5,21.25,28.4
264,music bots for discord 2022,0.0,11.75,38.8,35.75,24.5,18.4,7.0,25.0,0.0,12.0,0.0,9.4
265,soundcloud,85.5,96.25,93.8,87.75,89.75,87.0,86.5,82.5,81.0,79.0,64.75,62.4
266,bandcamp,87.0,81.25,86.0,82.5,84.5,87.8,88.5,85.0,88.0,83.5,84.75,84.6
267,music bots discord 2022,20.75,45.25,81.4,31.25,43.25,28.4,27.75,0.0,5.6,0.0,14.5,30.0
268,destiny 2 discord bots,30.75,30.25,0.0,0.0,0.0,24.4,16.0,36.0,31.8,0.0,52.75,13.0
269,crypto trading bot,57.25,48.5,60.8,32.25,45.75,56.6,48.5,51.25,60.6,74.75,39.25,65.8
270,ai bot trading,5.25,13.25,7.2,0.0,17.25,38.4,42.75,37.25,51.8,63.75,50.25,84.6
271,best trading bot,50.25,30.25,37.4,23.0,26.75,45.4,49.25,58.5,64.8,52.25,56.5,56.6
272,stock trading bot,24.0,23.5,11.4,19.25,19.0,29.2,46.0,43.0,41.4,43.0,65.75,54.4
273,forex trading,85.5,73.25,74.4,69.5,66.0,81.2,86.75,84.25,79.8,82.75,84.0,87.8
274,trade bot,54.75,51.0,38.6,69.5,81.75,61.6,65.25,61.75,68.4,64.5,88.75,67.6
275,ai bot stock trading,0.0,4.25,0.0,5.25,4.75,13.2,10.75,24.0,21.0,17.5,34.5,36.6
276,ai stock trading,4.25,12.0,7.6,7.0,11.0,30.8,23.0,24.5,44.6,63.5,54.25,75.4
277,best crypto trading bot,5.75,29.5,31.0,11.25,6.75,22.2,44.5,17.5,19.6,12.75,28.25,16.2
278,pionex,74.5,64.25,61.0,59.5,35.5,51.8,44.5,40.5,64.0,71.75,48.5,54.0
279,pionex trading bot,38.5,38.0,24.6,26.75,43.25,20.6,16.0,35.0,26.0,21.25,28.25,20.6
280,chatgpt trading bot,9.25,7.0,9.6,0.0,8.25,38.8,33.0,20.5,29.0,25.0,46.25,28.2
281,day trading bot,16.5,36.0,9.8,41.0,13.5,49.0,51.5,23.25,18.4,0.0,30.5,35.8
282,tradingview,81.5,83.25,82.2,85.5,82.0,92.8,90.25,90.25,82.6,80.75,83.0,79.2
283,best ai trading bot,22.25,48.5,0.0,6.75,0.0,8.2,18.25,36.5,50.8,45.75,51.75,16.0
284,binance trading bot,0.0,0.0,9.4,2.5,4.75,4.8,5.25,4.0,6.4,6.5,5.25,24.0
285,binance,30.0,26.75,25.2,92.0,54.5,27.2,30.0,31.75,29.8,22.25,41.0,22.8
286,bitcoin trading bot,9.0,13.5,13.8,29.0,13.0,12.0,20.5,13.0,11.0,41.25,0.0,33.2
287,kucoin trading bot,6.25,8.5,2.0,3.75,6.25,4.2,9.25,7.0,4.8,0.0,0.0,20.0
288,chat gpt trading bot,9.25,6.75,14.2,0.0,10.25,10.6,9.5,20.75,18.0,16.25,6.5,23.2
289,copy trading,69.5,49.5,52.4,38.25,41.75,75.6,74.0,67.0,69.2,57.0,59.75,64.4
290,best ai stock trading bot,0.0,0.0,47.6,11.0,0.0,0.0,0.0,0.0,45.6,33.75,25.0,10.8
291,ai stock trading bot free,0.0,0.0,0.0,22.75,34.25,24.4,13.0,0.0,0.0,50.0,10.0,28.8
292,csgo bot trading sites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,25.2,34.5,20.25,0.0
293,stock hero,49.5,51.0,43.8,51.0,41.25,53.6,49.0,47.25,50.6,41.25,38.75,45.2
294,csgo trading sites,36.75,11.75,7.4,12.75,9.75,12.0,12.5,55.25,65.4,48.5,28.0,21.4
295,forex fury,6.75,35.5,8.8,0.0,11.0,7.4,23.75,25.25,29.0,58.5,41.75,44.6
296,skinsmonkey,7.0,5.5,6.6,3.0,5.0,7.4,16.5,40.5,87.0,54.75,47.25,42.8
297,tickeron,30.0,20.25,11.4,5.75,31.75,26.2,33.0,15.75,34.8,5.75,54.75,17.0
298,steam trading card bot,0.0,0.0,30.6,0.0,16.0,9.4,0.0,22.5,13.6,33.5,0.0,20.0
299,trnd bot,6.0,5.25,2.6,3.5,1.75,6.2,0.0,2.25,5.6,0.0,0.0,28.6
300,discord bot mee6,82.0,67.75,68.8,66.0,44.0,61.6,71.75,67.25,63.2,57.5,68.5,67.2
301,discord mee6,86.25,71.5,73.2,70.0,52.0,63.4,72.0,66.5,66.8,54.5,65.0,69.2
302,mee6 music,34.25,34.25,58.6,53.0,23.5,21.8,57.25,36.5,28.4,24.0,17.75,13.4
303,mee6 music bot,27.75,36.5,50.0,43.25,18.5,21.6,58.75,28.5,31.6,21.25,8.0,11.0
304,mee6 bot for discord,28.0,39.0,30.6,28.5,16.0,27.8,32.75,36.75,25.2,24.5,21.75,36.6
305,mee6 bot commands,47.75,11.5,37.8,26.75,13.25,7.8,34.5,33.25,18.4,20.75,20.0,15.0
306,mee6 commands,53.25,44.75,45.2,53.25,28.0,43.0,57.75,46.5,28.4,27.0,21.0,21.8
307,dyno bot discord,78.25,71.5,55.4,62.25,59.5,56.6,59.75,48.75,48.8,48.25,55.5,59.2
308,add mee6,49.0,39.5,23.4,38.5,14.75,32.8,46.75,43.0,46.6,53.5,38.25,33.2
309,roles bot discord,78.25,74.5,63.8,52.75,53.25,56.6,65.0,54.5,50.4,52.0,71.0,67.0
310,mee6 discord commands,39.25,52.5,40.0,22.0,5.25,22.2,65.25,36.0,29.2,13.0,32.5,33.0
311,best discord bot,77.75,69.75,65.2,73.75,76.0,62.8,88.25,80.75,72.0,59.5,61.5,61.6
312,mee6 the discord bot,13.0,26.25,34.2,5.0,16.5,20.6,10.5,19.25,15.2,27.75,31.0,13.0
313,mee6 play music,30.75,32.25,47.6,33.75,21.75,16.4,26.5,27.0,15.8,25.0,14.75,19.8
314,fredbot,23.75,23.0,38.0,29.75,7.25,0.0,23.5,15.0,18.2,4.25,10.0,21.4
315,maki,56.75,63.0,58.2,54.0,58.5,58.0,58.5,59.0,57.2,58.0,58.5,76.4
316,mee6 bot not playing music,0.0,0.0,26.8,42.5,48.25,0.0,0.0,15.5,0.0,43.5,0.0,15.6
317,maki bot,14.0,8.75,12.8,11.5,12.25,21.4,31.25,32.0,29.6,24.0,30.75,51.6
318,vexera bot,16.75,30.5,19.8,21.75,9.25,27.4,28.75,45.25,22.2,27.25,49.25,21.8
319,vexera,20.0,21.0,27.2,30.5,25.5,25.4,40.25,39.25,33.0,33.75,57.75,29.4
320,mee6 not playing music,0.0,26.75,19.2,55.75,16.0,8.6,17.75,17.75,0.0,0.0,15.75,17.6
321,birthday bot discord,48.5,45.75,28.6,37.25,22.75,48.6,42.25,61.5,24.0,61.5,54.25,25.6
322,top.gg,58.5,55.0,43.0,50.5,52.25,57.0,59.0,67.75,48.8,45.0,65.75,62.4
323,green bot,60.75,47.75,52.8,48.75,52.0,48.2,80.75,65.75,68.8,49.25,65.25,62.8
324,best music bot for discord,26.75,38.75,36.6,51.75,34.25,25.4,47.0,35.0,18.4,17.25,19.5,20.0
325,discord youtube bot,23.75,29.75,76.2,52.5,44.0,43.0,52.75,41.5,38.2,32.5,46.5,50.2
326,twitter discord bot,21.25,15.75,18.6,23.5,11.5,11.4,15.75,30.25,24.8,22.75,23.5,35.0
327,discord twitter,85.25,75.5,77.4,82.5,78.5,72.8,68.5,70.0,82.6,75.75,86.0,81.6
328,twitter ai,21.0,23.25,36.4,38.0,58.0,44.6,58.25,64.0,87.2,85.0,85.75,84.6
329,ai twitter bot,27.0,10.75,23.6,39.25,11.5,30.4,21.0,10.75,39.4,20.25,21.75,4.8
330,twitter ai bot,27.0,10.75,23.6,39.25,11.5,30.4,21.0,10.75,39.4,20.25,21.75,4.8
331,twitter download,60.75,57.0,59.2,66.75,51.75,50.6,51.0,50.5,53.8,60.75,68.5,74.4
332,twitter bots,54.5,57.0,64.2,64.5,65.75,40.6,20.75,34.75,23.0,27.0,33.0,20.8
333,twitter bot followers,19.0,9.0,10.6,23.25,32.5,44.6,6.25,48.75,0.0,12.0,0.0,5.6
334,how to make a twitter bot,24.0,0.0,7.2,23.75,32.5,19.6,17.75,8.25,26.6,11.75,0.0,0.0
335,what is a twitter bot,17.75,26.75,25.6,23.5,34.25,6.6,14.25,12.25,0.0,0.0,15.5,4.8
336,what is a bot,68.5,68.5,81.4,79.5,70.0,75.4,79.5,78.5,86.0,66.75,59.5,61.8
337,twitter bot accounts,7.5,8.0,2.0,4.25,2.0,0.8,1.75,2.0,0.0,4.0,1.5,25.4
338,python twitter bot,41.25,22.0,45.8,22.0,20.0,33.4,17.0,7.25,19.8,19.25,9.25,14.6
339,twitter chat bot,0.0,14.5,12.4,14.25,20.75,39.4,29.0,34.75,15.8,6.75,8.0,25.6
340,twitter api,12.75,12.5,14.8,15.75,12.5,35.0,23.75,23.75,21.0,14.5,21.75,16.2
341,twitter save video,53.25,46.5,54.0,51.25,46.0,50.6,51.0,59.5,54.6,53.5,59.0,63.2
342,twitter video download,59.75,59.0,54.0,51.0,47.25,47.8,50.0,50.0,53.0,58.25,62.0,72.8
343,twitter download video bot,17.75,35.75,36.2,20.75,25.0,23.4,4.5,4.75,17.2,16.25,30.5,12.8
344,microsoft twitter bot,12.25,5.0,25.2,6.0,2.5,0.0,25.5,11.0,8.6,6.75,9.0,27.4
345,unlikely bot twitter,8.5,0.0,20.0,0.0,20.0,0.0,8.75,0.0,28.0,25.5,23.0,19.4
346,elon musk twitter,7.0,6.5,51.4,57.75,44.75,12.6,11.25,11.25,17.6,11.25,10.0,16.6
347,twitter bot check,25.0,30.25,29.0,17.5,23.25,0.0,0.0,35.25,30.2,0.0,15.25,0.0
348,baroness bruck,33.75,66.0,46.0,38.25,63.5,57.4,58.5,64.5,60.8,53.25,51.5,25.6
349,richard eden twitter,29.5,64.5,20.4,43.25,25.0,26.2,31.25,34.5,34.6,18.0,33.0,0.0
350,prince harry,6.5,55.25,10.0,9.0,22.25,44.4,14.75,13.0,16.2,24.0,17.5,11.4
351,omid scobie twitter,24.25,63.5,26.6,18.0,43.75,35.4,30.5,33.75,20.8,36.5,27.75,11.6
352,microsoft twitter bot tweets,0.0,0.0,0.0,0.0,22.0,8.4,11.0,42.0,18.0,0.0,14.5,18.6
353,clay travis twitter,49.25,50.25,57.8,69.5,50.75,53.2,49.5,48.25,52.6,48.75,52.0,50.8
354,southpaw twitter,80.5,63.0,60.0,57.25,63.0,46.4,51.25,50.25,72.8,70.25,88.75,61.8
355,lipstick alley royals,16.5,46.25,13.4,24.75,50.25,16.8,7.75,36.0,14.0,23.25,40.5,11.4
356,royally blunt twitter,49.25,86.5,39.6,21.25,22.5,5.8,21.5,24.5,31.6,27.0,11.75,0.0
357,ai bot destroy humanity,0.0,0.25,0.8,0.0,0.0,0.0,0.25,0.75,20.4,0.75,0.0,0.4
358,walter kirn twitter,33.75,19.0,47.4,12.5,33.5,33.8,38.25,33.5,11.8,9.5,0.0,15.6
359,wdrb twitter,15.25,0.0,13.6,14.25,8.5,16.6,10.0,12.0,18.4,7.25,3.75,26.2
360,sabirah lohn twitter,25.25,32.5,31.4,20.5,48.25,9.6,0.0,18.75,34.4,43.5,50.0,25.6
361,chris hayes twitter,47.5,36.25,48.0,63.5,48.5,49.0,40.25,46.25,55.4,66.0,87.25,43.0
362,wayback machine,84.0,77.25,76.6,72.0,67.25,78.8,82.75,78.25,78.8,77.25,87.0,81.2
363,baroness bruck twitter,32.75,56.75,36.0,28.25,54.0,55.6,40.75,54.75,51.6,48.75,54.5,26.6
364,mee6 discord server,28.5,34.0,38.4,16.5,22.25,27.6,31.25,30.5,42.0,36.25,16.75,47.2
365,carl,69.75,74.25,64.4,63.75,63.5,76.4,76.0,80.75,79.2,80.25,69.5,65.8
366,mee6 dashboard,44.5,41.25,47.8,32.25,15.0,33.4,30.75,40.25,44.0,28.75,41.25,20.6
367,how to add mee6,38.25,34.75,26.8,33.75,24.0,14.2,11.0,36.0,48.4,33.75,20.5,5.6
368,add mee6 to discord,34.5,26.75,26.6,37.75,47.5,35.2,36.75,25.5,26.8,13.5,31.75,29.4
369,amaribot,8.25,10.0,21.4,0.0,45.75,12.8,0.0,23.25,23.4,24.5,22.75,9.6
370,botghost,35.25,19.75,13.8,32.5,22.75,23.4,31.75,25.5,41.2,50.5,38.0,69.0
371,discord bots you need,12.0,8.5,7.0,14.75,15.25,8.4,5.0,43.25,0.0,5.75,38.75,6.8
372,streamlabs,89.0,75.5,71.2,67.5,76.25,80.2,75.75,71.0,62.2,62.75,77.25,71.8
373,mee6 login,1.5,2.0,3.2,4.0,2.0,0.8,5.0,2.25,5.6,3.0,1.5,21.4
374,does mee6 play music,0.0,28.75,0.0,31.0,29.5,0.0,25.0,7.5,14.2,9.25,25.75,17.2
375,star emoji,56.5,62.0,55.2,54.5,62.0,67.4,62.0,63.25,74.0,68.5,64.75,59.2
376,does mee6 still play music,0.0,8.5,18.4,19.5,15.25,0.0,25.0,9.75,0.0,10.0,13.75,0.0
377,linktree,85.25,84.75,83.8,87.75,72.5,90.6,87.5,85.25,79.0,75.25,77.0,71.0
378,font generator,81.75,80.5,83.8,81.5,88.5,88.6,90.0,92.25,94.2,98.0,96.5,93.0
379,alternatives to mee6,0.0,0.0,0.0,11.25,10.75,9.2,14.25,15.75,30.0,17.25,0.0,11.2
380,announcements,40.5,64.5,39.4,41.25,49.0,43.6,45.5,52.5,72.8,53.0,41.75,31.6
381,discord login,94.5,81.25,82.8,85.5,85.75,82.2,84.0,79.0,78.6,85.25,87.5,92.0
382,character,64.75,71.0,74.0,65.75,67.75,74.4,78.5,76.75,87.2,93.0,81.5,83.6
383,art ai,18.0,20.25,19.6,21.5,53.0,28.6,27.0,26.5,29.6,28.5,25.75,24.6
384,ai chat,1.25,1.0,1.4,2.5,43.75,51.8,59.25,66.0,82.8,76.5,57.0,53.6
385,what is ai,11.0,12.75,13.0,14.75,26.0,28.4,38.25,42.5,68.2,59.25,49.5,48.4
386,ai image,45.0,32.25,32.8,33.5,58.5,47.2,51.75,66.5,90.8,91.25,89.75,89.0
387,ai gpt,0.75,0.5,1.0,2.25,44.75,56.6,61.0,74.75,91.0,75.5,52.25,44.2
388,chatgpt ai,0.0,0.0,0.0,0.75,34.0,50.0,65.5,70.5,87.0,74.0,55.5,47.2
389,ai voice,8.5,8.5,10.2,16.25,17.75,29.0,81.75,80.0,81.6,76.75,70.75,75.2
390,ai chat gpt,0.0,0.0,0.0,0.75,41.5,58.8,62.25,77.75,91.0,75.75,52.25,44.0
391,snapchat ai,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,30.6,6.0,2.25,1.2
392,ai app,5.25,5.5,5.4,11.75,42.5,16.0,16.75,19.0,28.2,37.75,33.5,38.4
393,ai stock,5.0,4.25,4.8,4.25,8.5,17.0,31.25,24.5,30.4,55.5,53.75,41.2
394,ai images,43.75,31.0,31.0,36.0,60.5,47.8,52.5,63.75,77.2,78.25,71.75,70.6
395,beta character ai,0.0,0.0,0.6,1.25,5.5,15.0,24.25,29.25,72.2,79.25,47.25,36.8
396,character ai beta,0.0,0.0,0.6,1.25,5.5,15.0,24.25,29.25,72.2,79.25,47.25,36.8
397,how to get snapchat ai,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,27.6,4.5,1.5,0.8
398,bard ai google,0.25,0.25,0.0,0.0,0.5,0.0,39.5,31.0,31.4,67.0,37.75,30.6
399,janitor ai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,18.2
400,how to get rid of snapchat ai,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,7.0,2.5,1.2
401,my ai snapchat,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,28.0,4.25,2.0,1.0
402,how to get my ai on snapchat,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,25.8,2.75,1.5,1.0
403,perplexity ai,0.5,0.75,0.4,1.5,24.25,22.6,40.25,39.0,59.6,64.75,54.75,54.6
404,lensa ai,0.0,0.0,0.0,6.0,33.5,2.6,1.25,1.0,1.0,1.0,0.5,0.2
405,stable diffusion,28.0,68.5,67.2,50.0,66.25,63.4,75.75,88.0,91.8,83.5,71.5,71.6
406,eleven labs,0.0,0.0,0.0,0.0,0.0,3.2,25.25,71.0,30.4,19.75,17.75,16.8
407,stable diffusion ai,27.5,67.0,70.8,48.75,81.0,74.6,80.25,86.5,93.2,83.0,75.75,67.6
408,eleven labs ai,1.25,1.0,0.2,0.0,1.5,7.2,73.25,89.25,57.4,37.5,30.25,25.0
409,lensa,0.0,0.0,0.0,6.0,32.0,2.4,1.0,1.0,1.0,1.0,1.0,0.8
410,how to get rid of my ai on snapchat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,3.0,1.75,0.6
411,mittens,17.0,19.5,34.0,75.25,87.5,58.8,31.0,22.5,14.8,12.5,12.25,12.6
412,chess mittens bot,0.0,2.75,2.4,2.5,0.0,73.0,15.5,6.25,4.0,0.75,3.5,5.2
413,mittens chess,0.5,2.0,0.0,0.0,0.0,63.4,11.75,6.0,3.4,1.25,0.75,0.6
414,best chess bot,4.5,21.25,6.0,9.75,31.0,58.2,69.25,48.25,41.0,23.0,7.25,12.6
415,chess.com,25.5,29.5,33.8,31.25,42.25,79.8,84.75,73.0,62.0,50.0,37.25,36.0
416,chess.com bot,4.5,15.5,6.2,4.75,23.5,84.4,54.5,35.25,46.0,16.25,18.25,20.8
417,online chess,46.75,51.5,50.8,52.5,65.25,86.4,88.5,77.5,67.6,67.0,48.25,44.2
418,stockfish,18.5,30.75,29.2,26.25,42.25,92.6,88.5,63.75,57.2,40.5,28.25,29.0
419,stockfish chess bot,10.0,0.0,10.0,5.5,6.25,49.8,48.25,20.0,28.0,4.75,4.5,7.0
420,stockfish chess,16.0,30.5,24.4,23.0,40.25,86.0,73.0,50.75,53.6,32.75,25.75,27.8
421,chess vs bot,3.5,17.5,11.6,0.0,17.0,42.2,22.75,26.25,9.8,12.25,8.25,5.0
422,chess game,42.25,44.75,43.6,45.0,55.75,78.4,95.25,74.25,76.4,57.5,42.75,53.6
423,chess cheat bot,0.0,16.0,16.4,6.5,4.75,41.4,37.25,12.75,15.0,6.5,0.0,10.4
424,chess cheat,8.25,53.0,35.8,9.5,16.5,21.2,21.75,18.0,18.0,13.0,11.75,13.0
425,chess best move bot,0.0,0.0,7.2,7.0,7.75,12.0,29.5,25.25,25.6,31.75,16.5,0.0
426,chess bot helper,26.75,0.0,16.0,0.0,0.0,38.8,35.25,13.75,33.0,20.25,15.0,9.6
427,chess engine,34.0,49.75,52.0,47.75,64.25,88.4,87.0,75.0,65.6,58.0,38.0,48.2
428,chess next move,32.5,38.75,37.0,35.5,43.5,75.8,90.0,78.0,68.0,53.75,53.0,72.6
429,chess calculator,20.75,27.25,31.0,32.5,42.5,79.0,95.0,79.25,68.4,45.0,37.0,45.0
430,mittens the chess bot,7.0,0.0,10.8,0.0,0.0,70.6,21.75,0.0,7.8,8.0,0.0,4.8
431,hardest chess bot,6.0,0.0,3.8,0.0,25.0,51.2,14.75,20.25,9.4,0.0,0.0,0.0
432,chess bots,10.25,19.0,4.6,21.5,21.0,64.8,41.75,44.75,25.2,30.0,14.25,11.4
433,martin chess bot,0.0,19.25,26.2,18.0,6.5,9.8,6.0,0.0,8.4,11.25,0.0,4.6
434,m3gan,0.0,0.0,9.2,2.0,9.5,69.6,25.5,10.5,5.2,3.25,3.75,5.0
435,how to play mittens chess bot,0.0,36.25,24.2,15.25,0.0,14.4,0.0,14.75,11.8,0.0,0.0,9.2
436,megan chess bot,0.0,0.0,17.2,0.0,7.75,51.0,0.0,15.75,0.0,0.0,0.0,0.0
437,mittens chess bot elo,0.0,20.5,5.2,9.0,43.25,35.2,17.75,13.5,17.4,23.0,15.5,0.0
438,what is the best chess bot,0.0,11.75,34.8,19.0,0.0,32.0,0.0,22.5,0.0,6.75,18.0,10.0
439,chess .com,16.25,18.75,21.2,24.75,34.25,68.2,74.75,66.0,50.4,45.5,30.0,25.6
440,alphazero,45.25,60.5,58.2,51.25,58.0,60.0,69.75,60.75,70.2,55.5,27.5,15.8
441,google snake,52.0,90.75,75.2,49.5,40.0,45.2,46.0,49.75,59.4,74.0,19.25,9.0
442,chess cheating tool,0.0,5.75,24.0,5.75,9.5,32.4,66.5,22.25,13.0,3.0,11.5,0.0
443,chess board setup,33.25,32.5,34.2,42.25,60.25,56.2,54.0,48.75,42.2,39.0,38.5,30.2
444,stockfish 15,10.5,25.5,17.4,11.75,26.5,53.6,27.5,23.0,20.4,9.25,0.0,4.4
445,pal 9000,24.25,3.25,0.0,11.0,0.0,18.2,47.5,0.0,0.0,3.5,4.75,4.0
446,meaning of bot,65.75,63.25,60.2,47.75,57.0,58.8,64.5,49.5,54.4,31.0,47.75,27.4
447,bot names,44.75,39.75,40.2,38.25,47.0,50.2,48.25,49.0,46.4,49.5,48.25,64.8
448,bot meaning slang,29.5,25.75,33.4,7.75,8.0,5.8,49.0,24.75,44.4,8.0,27.5,21.0
449,bot definition,58.25,66.25,78.2,64.75,60.5,74.0,81.5,66.25,61.0,60.25,54.5,52.4
450,wordle bot,91.0,55.5,39.0,30.0,31.0,29.2,25.25,22.0,23.2,26.0,28.75,27.0
451,bots meaning,66.75,30.5,52.2,42.5,63.0,50.6,42.75,43.5,41.4,37.5,42.75,50.0
452,boy names,79.75,76.25,77.6,78.5,85.75,85.4,83.75,87.0,84.2,87.0,93.5,90.4
453,ai chat bot,4.0,5.25,4.0,6.75,68.75,47.8,52.0,42.5,64.6,46.75,34.5,32.8
454,bot meaning in chat,11.25,26.0,14.2,32.25,0.0,10.2,0.0,17.25,20.4,0.0,14.25,5.2
455,discord music bot,41.25,40.75,58.6,50.5,41.25,39.8,80.25,55.75,47.4,41.75,53.0,57.8
456,bot fly,81.75,61.75,45.6,37.0,35.25,27.2,31.0,39.75,39.0,50.25,48.0,71.0
457,nsfw meaning,67.75,49.25,54.8,54.0,55.5,58.0,51.75,55.25,40.8,49.0,47.75,58.0
458,chai bot,18.25,17.5,11.4,15.75,25.5,25.6,18.25,45.0,59.8,46.75,43.5,60.6
459,unique boy names with meaning,59.75,59.5,49.2,61.0,70.5,75.4,68.0,74.25,77.8,75.5,80.25,84.2
460,npc meaning,33.25,29.5,37.2,44.75,56.0,44.4,35.75,29.0,38.0,24.25,21.0,39.8
461,discord developer portal,68.5,54.0,51.4,70.0,81.25,62.4,70.75,57.75,70.4,68.25,84.0,76.0
462,otp bot,39.25,63.0,41.0,44.25,30.5,31.8,73.25,53.5,46.2,37.0,31.0,39.0
463,quilt bot,16.0,15.75,28.0,19.5,21.75,16.6,21.75,22.0,13.8,16.5,0.0,26.8
464,paraphrase bot,16.5,28.75,41.2,31.25,45.25,27.6,49.5,58.25,56.8,52.5,17.0,6.6
465,dyno tuning,64.25,54.5,64.4,47.0,48.75,57.4,65.75,62.25,69.4,81.5,76.5,67.4
466,discord dyno,74.0,61.5,49.2,60.25,49.75,59.2,50.75,52.5,49.8,51.5,53.75,67.0
467,dyno tune,66.5,73.5,62.4,52.75,50.75,54.2,61.75,67.75,82.6,70.0,73.0,79.2
468,dyno near me,78.25,54.75,57.8,48.5,54.5,64.4,75.25,84.5,74.6,73.25,66.25,64.6
469,car dyno,65.25,61.0,61.8,58.75,48.75,73.4,69.75,53.5,80.0,70.75,70.5,60.6
470,engine dyno,67.75,77.5,57.6,50.5,55.75,61.0,71.5,66.5,57.0,69.25,62.25,38.2
471,gt dyno,69.25,66.5,47.4,44.75,40.25,37.4,59.75,41.0,53.2,66.75,66.5,60.8
472,dyno cam,53.25,53.25,59.2,51.0,50.0,62.6,58.75,61.75,71.0,66.75,59.5,62.4
473,dyno tuning near me,44.5,31.75,30.4,32.5,32.75,32.6,39.75,28.25,36.0,43.5,37.25,47.2
474,dyno for sale,45.75,55.5,51.0,49.0,53.75,63.4,66.0,48.75,50.4,52.0,60.25,68.8
475,dyno bike,78.25,56.5,63.6,48.25,21.25,38.4,62.75,42.25,59.4,68.0,69.25,50.4
476,dyno performance,76.0,61.75,63.4,55.0,50.75,70.0,71.5,69.0,78.0,69.25,83.25,44.2
477,mustang dyno,56.25,54.0,48.0,34.75,31.25,43.8,48.5,52.25,46.0,46.75,41.0,41.8
478,dyno nobel,27.0,28.75,38.0,27.25,33.0,45.6,30.5,35.0,32.0,43.5,44.75,26.4
479,dyno test,52.0,55.75,62.4,48.25,49.5,46.8,64.25,52.0,56.0,75.25,59.5,46.0
480,motorcycle dyno,55.25,36.75,33.0,31.0,30.0,34.2,35.5,51.5,51.2,72.75,68.25,46.2
481,dyno bmx,42.5,34.0,27.6,27.5,8.5,18.4,35.0,28.5,27.8,44.0,51.25,48.4
482,dyno air,70.25,68.5,47.2,47.25,38.25,42.8,56.5,70.0,41.0,52.5,44.75,43.6
483,dyno jet,48.5,48.25,49.6,24.25,27.5,19.6,37.5,29.75,57.6,63.25,65.25,39.2
484,dyno shop,67.75,45.5,47.0,30.75,34.25,26.4,50.25,40.0,30.4,38.0,42.25,20.0
485,dyno tuner,10.75,13.5,17.0,8.25,6.75,11.8,15.0,18.0,14.8,17.75,24.0,29.4
486,kc dyno house,0.0,0.0,18.0,11.75,34.0,7.8,17.75,0.0,12.8,36.5,0.0,19.2
487,dyno climbing term,0.0,24.0,30.4,0.0,19.25,0.0,0.0,11.25,6.8,0.0,15.5,8.2
488,1/4 mile calculator,23.0,20.25,16.4,12.5,11.5,17.0,15.5,15.0,17.4,19.25,15.0,35.8
