,Month,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
226,green bot,46.0,57.75,52.25,53.4,47.5,54.75,53.0,71.5,62.25,66.0,53.5,65.75,67.5
227,soul music discord bot,0.0,23.5,6.5,10.0,23.5,15.0,39.6,23.75,5.75,8.6,16.75,0.0,24.0
228,discord bot api,43.0,20.75,19.25,15.0,22.0,26.25,23.0,28.0,29.5,25.6,26.5,20.5,43.75
229,discord api python,22.0,33.0,45.75,31.2,27.25,43.5,22.4,24.75,41.75,31.2,40.0,26.25,16.5
230,discord.py,93.0,76.5,72.75,74.8,83.75,72.5,79.2,71.75,72.5,74.0,68.5,62.75,40.5
231,python install,83.0,78.5,80.0,85.6,78.5,72.5,82.6,95.5,91.75,91.6,82.75,82.75,73.25
232,github,66.0,68.75,76.5,79.0,72.75,66.5,78.4,88.25,95.25,92.0,83.75,76.0,65.75
233,discord py,32.0,37.0,40.0,34.8,33.25,41.25,36.8,27.5,37.25,31.4,35.0,27.0,50.0
234,ffmpeg,85.0,82.75,85.25,94.6,86.25,90.25,85.8,76.0,80.25,78.4,79.0,78.75,90.25
235,discord.py slash commands,63.0,19.5,24.25,18.6,18.0,12.75,18.8,0.0,48.25,25.2,8.25,0.0,12.75
236,pycord,8.0,12.5,8.0,10.4,7.75,7.5,6.8,5.75,3.75,6.8,10.0,5.75,27.0
237,install python,83.0,78.5,80.0,85.6,78.5,72.5,82.6,95.5,91.75,91.6,82.75,82.75,73.25
238,python dictionary,74.0,72.75,83.25,95.8,87.25,63.0,67.4,84.0,76.5,72.2,54.0,56.5,47.25
239,f string python,62.0,64.0,79.25,79.4,70.5,52.75,60.6,72.25,66.25,70.4,57.0,51.25,40.5
240,discord ai bot,61.0,47.25,30.75,22.4,20.75,25.75,29.4,37.0,48.25,64.2,59.75,56.0,63.5
241,midjourney discord server,26.0,22.75,4.0,2.6,9.0,4.25,12.8,14.0,27.5,24.6,21.5,23.75,32.75
242,add midjourney bot to discord,36.0,31.0,9.25,10.6,6.75,2.25,9.0,10.5,22.25,15.4,10.0,3.25,29.5
243,midjourney ai art,95.0,64.25,22.75,12.4,10.75,23.5,27.8,23.75,23.75,26.0,22.25,19.75,22.5
244,how to use midjourney,20.0,32.75,20.75,12.6,20.0,25.5,34.8,42.25,73.25,78.0,72.0,61.25,38.25
245,discord ai art generator,41.0,57.5,46.5,28.2,29.75,44.0,41.2,35.0,49.0,40.0,48.25,18.5,18.5
246,midjourney ai art generator,80.0,58.5,40.0,24.8,20.0,42.0,54.2,40.0,43.75,52.8,43.5,36.75,50.25
247,ai image generator discord bot,81.0,33.25,21.25,20.8,22.25,0.0,8.4,0.0,10.75,17.8,11.0,11.0,0.0
248,midjourney api,38.0,2.75,2.25,1.2,4.25,15.75,24.4,25.25,50.5,48.8,43.75,29.0,38.25
249,stable diffusion discord bot,0.0,37.75,7.25,12.8,0.0,47.75,7.8,35.25,33.25,39.0,7.0,15.75,0.0
250,midjourney subscription,29.0,24.75,10.5,12.4,13.5,18.75,42.6,30.75,53.75,76.4,46.75,47.25,39.75
251,ai art midjourney,95.0,64.25,22.75,12.4,10.75,23.5,27.8,23.75,23.75,26.0,22.25,19.75,22.5
252,midjourney free,17.0,16.75,14.0,12.8,9.0,22.0,33.6,37.75,56.75,84.2,85.5,73.0,73.0
253,midjourney prompts,6.0,10.5,17.0,9.0,13.0,28.0,37.2,52.75,73.75,81.8,84.75,74.75,64.75
254,midjourney prompt,8.0,12.0,17.0,7.4,14.0,22.0,28.6,44.25,64.5,79.6,80.75,71.0,59.5
255,image ai,35.0,41.0,29.75,30.2,30.75,57.5,42.8,47.75,60.75,82.4,84.75,82.75,82.75
256,ai art generator midjourney,80.0,58.5,40.0,24.8,20.0,42.0,54.2,40.0,43.75,52.8,43.5,36.75,50.25
257,midjourney how to use,20.0,32.75,20.75,12.6,20.0,25.5,34.8,42.25,73.25,78.0,72.0,61.25,38.25
258,midjourney image generator,39.0,38.5,25.25,11.8,11.25,20.25,33.6,33.5,57.25,78.6,77.75,65.75,59.75
259,midjourney gallery,15.0,24.5,17.5,8.6,8.25,22.25,25.8,20.5,21.25,11.6,11.5,5.75,43.75
260,midjourney free trial,12.0,12.5,15.0,23.2,9.0,3.0,8.6,14.5,36.75,12.2,20.75,30.25,13.5
261,python discord bot,58.0,75.25,50.0,62.2,56.5,64.25,63.8,72.25,71.25,63.2,42.5,51.75,73.25
262,discord midjourney ai,63.0,53.75,45.25,15.8,15.25,26.25,38.6,36.25,49.25,55.0,51.25,44.5,48.75
263,midjourney on discord,35.0,21.75,17.5,5.4,6.75,28.5,36.8,46.75,69.0,65.6,68.75,52.75,23.25
264,discord ai art,54.0,52.75,34.25,20.2,16.0,27.5,33.0,33.75,37.5,30.0,30.5,21.0,15.25
265,add midjourney to discord,50.0,41.75,23.5,11.4,20.25,17.5,36.2,27.0,34.25,43.8,63.0,31.75,9.5
266,midjourney app,13.0,35.5,19.0,12.0,11.25,31.75,40.6,39.75,65.25,72.2,63.25,65.25,42.5
267,midjourney private,18.0,21.5,19.5,15.2,11.0,33.0,51.2,45.5,65.0,60.4,66.0,56.75,31.5
268,stable diffusion discord,30.0,52.0,73.25,59.4,17.5,34.0,41.0,57.0,79.25,66.8,55.75,64.25,40.0
269,midjourney without discord,0.0,1.25,4.0,2.6,3.5,0.0,2.4,2.75,4.25,4.8,6.0,0.0,27.5
270,use midjourney without discord,0.0,0.0,0.0,9.2,0.0,16.25,5.4,28.5,40.5,30.8,19.5,11.0,8.25
271,dalle ai,63.0,62.5,47.5,50.6,41.0,78.25,75.6,70.75,79.25,80.0,74.25,53.75,42.75
272,free ai art generator,10.0,20.25,27.25,34.2,37.5,71.75,67.6,61.75,64.75,90.6,89.75,86.25,86.75
273,free ai image generator,8.0,15.0,11.75,15.6,16.75,30.5,29.6,33.25,43.5,74.8,90.0,88.5,91.5
274,midjourney down,34.0,23.5,12.0,13.4,25.25,45.0,13.8,34.75,68.25,33.4,38.0,44.25,19.75
275,ai bot,8.0,7.75,6.25,5.6,5.75,23.5,26.6,26.25,22.75,54.4,30.5,23.75,26.25
276,midjourney pricing,0.0,31.75,7.5,7.4,4.5,21.5,40.2,39.75,45.25,71.8,40.0,54.5,24.5
277,midjourney prompt generator,17.0,12.0,29.5,7.8,11.5,5.25,15.4,17.5,32.0,38.0,41.25,28.0,53.5
278,midjourney ai generator,69.0,60.75,40.75,21.6,19.25,41.75,53.4,47.0,65.75,82.0,70.25,65.75,57.0
279,art ai generator,9.0,11.5,15.5,15.6,18.75,47.5,24.2,22.75,22.5,25.2,24.25,20.5,19.5
280,free ai generator,8.0,11.5,13.25,17.2,21.25,41.75,38.4,43.0,50.0,69.6,77.5,76.75,84.75
281,ai images,36.0,44.25,32.0,32.0,36.5,60.5,48.2,53.25,64.5,78.6,80.0,72.5,72.75
282,adobe ai,8.0,9.0,11.25,11.2,10.75,16.25,23.4,29.25,46.75,54.8,74.25,73.75,48.0
283,nightcafe ai,38.0,53.0,55.0,58.6,48.0,78.5,74.2,62.25,62.0,65.4,68.5,54.75,54.75
284,ai logo generator,5.0,6.5,8.25,7.6,8.25,18.75,36.0,47.25,58.75,79.8,88.25,95.75,82.25
285,midjourney ai alternative,0.0,8.0,0.0,14.8,0.0,0.0,13.8,0.0,14.0,75.2,50.75,30.75,27.5
286,midjourney price,22.0,32.0,5.25,13.0,29.75,28.25,27.8,32.75,63.75,47.0,44.5,33.25,21.75
287,ai image creator,9.0,4.0,6.25,6.4,4.5,15.0,17.4,14.75,31.0,79.8,70.75,71.0,59.5
288,stability ai,12.0,19.25,21.25,37.4,19.25,24.5,50.4,37.25,37.0,45.2,42.0,44.25,57.75
289,mid journey ai art,37.0,49.25,17.75,13.0,5.5,11.75,9.4,9.5,7.25,9.2,6.0,6.5,2.0
290,ai chat bot,4.0,4.75,4.5,4.2,6.75,70.0,47.8,52.75,44.0,65.6,47.75,34.0,35.5
291,character ai discord,0.0,1.25,1.25,1.8,1.5,10.75,8.6,22.25,18.0,55.2,67.5,66.5,80.5
292,character ai discord bot,0.0,13.0,11.5,0.0,7.0,25.5,24.4,44.5,5.25,22.4,37.0,8.0,14.5
293,character ai,0.0,0.0,0.0,0.8,1.25,4.0,11.8,17.75,20.0,65.8,86.75,67.25,79.5
294,clyde bot discord,0.0,3.25,6.5,1.4,4.5,0.0,0.0,2.0,6.0,45.0,17.25,20.0,45.25
295,ai generated images,39.0,44.0,29.75,29.8,35.0,55.75,33.2,35.25,40.75,45.8,43.5,34.75,37.0
296,mee6 discord server,54.0,44.0,47.25,40.2,54.5,46.5,29.0,58.25,43.0,53.6,42.75,60.25,28.75
297,add mee6,83.0,51.0,38.5,27.4,46.0,37.0,42.0,40.0,33.0,40.2,22.25,41.0,28.75
298,robot emoji,59.0,47.0,47.5,39.4,41.5,50.0,57.2,65.25,41.5,63.6,56.5,57.75,36.5
299,mee6 not playing music,0.0,14.25,10.75,20.8,21.5,0.0,9.6,24.0,36.0,26.2,16.25,10.0,0.0
300,birthday bot discord,86.0,50.75,27.0,58.8,33.25,18.5,36.6,25.0,39.75,62.8,51.75,40.5,36.5
301,fredbot,40.0,49.75,9.75,42.6,16.75,5.75,0.0,24.0,7.5,15.2,11.5,22.5,30.0
302,how to get mee6 to play music,28.0,0.0,0.0,11.8,7.5,7.5,18.6,14.25,14.25,5.2,11.0,0.0,25.0
303,does mee6 play music,52.0,12.5,8.75,27.0,0.0,7.25,26.8,25.25,17.0,0.0,0.0,10.0,0.0
304,amaribot,0.0,25.0,43.25,6.0,12.25,24.75,31.0,10.25,13.75,10.6,23.25,17.0,7.75
305,discord tos,73.0,64.0,47.75,50.4,44.5,47.75,50.4,66.5,81.75,62.6,46.0,60.5,49.0
306,mee6 login,0.0,0.0,2.25,0.4,0.5,2.0,1.4,0.0,0.5,1.8,0.0,0.5,25.5
307,heart emoji,73.0,71.75,69.25,70.6,72.5,74.25,75.6,86.25,75.0,78.0,82.75,77.25,66.25
308,clyde discord bot invite,0.0,12.0,30.75,0.0,0.0,9.0,10.0,0.0,18.5,10.6,33.5,10.75,19.5
309,how to turn off clyde bot discord,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,2.25,0.0,0.0,0.75,25.0
310,best ai generator,15.0,21.25,27.0,27.8,29.25,64.0,58.4,59.25,71.5,86.6,90.25,82.0,91.25
311,ai art generator nsfw,0.0,11.0,2.25,18.2,21.5,57.0,39.6,72.0,66.0,63.4,64.0,77.5,91.5
312,ai art generator lensa,0.0,0.5,0.75,0.0,2.5,29.5,1.4,0.5,1.5,1.0,0.25,0.5,0.75
313,lensa,0.0,0.0,0.0,0.0,6.25,32.0,2.4,1.0,1.0,1.0,1.0,1.0,0.75
314,lensa ai,0.0,0.0,0.0,0.0,5.5,32.75,2.6,1.0,1.0,0.8,1.0,1.0,0.5
315,bing ai art generator,0.0,0.0,0.0,2.6,1.5,0.0,8.2,16.75,13.75,65.6,47.0,47.25,49.0
316,novelai,6.0,7.25,11.25,69.4,44.25,36.75,27.0,29.75,24.0,21.8,20.25,20.75,18.0
317,uncensored ai art generator,24.0,13.5,9.0,0.0,6.75,37.25,20.2,16.0,28.5,11.8,45.5,31.25,34.0
318,ai art generator selfie,19.0,1.25,0.0,2.6,5.75,26.5,3.8,2.25,2.5,1.4,3.0,2.0,2.25
319,sexy ai art generator,0.0,0.0,0.0,0.0,0.75,0.75,1.2,7.0,3.75,3.2,4.5,4.0,29.75
320,jockie music discord bot,0.0,25.25,20.5,23.0,31.5,14.0,25.4,49.0,30.25,47.4,35.0,34.5,42.0
321,jockie music bot commands,0.0,3.0,0.0,4.8,4.5,3.75,2.2,16.5,11.75,4.8,10.25,2.25,31.0
322,jockie music bot discord,0.0,25.25,20.5,23.0,31.5,14.0,25.4,49.0,30.25,47.4,35.0,34.5,42.0
323,dyno discord bot,100.0,81.5,74.0,50.0,61.5,49.25,51.2,52.0,50.5,48.4,51.0,55.5,49.0
324,apollo discord bot,0.0,21.75,3.75,27.2,4.75,14.75,22.4,24.25,27.5,19.2,0.0,4.75,5.5
325,fredboat bot,100.0,56.25,64.25,67.0,57.0,39.25,33.6,62.5,46.25,36.6,35.25,37.5,28.0
326,music bots that support youtube,64.0,0.0,8.5,37.0,46.0,37.0,20.8,22.25,0.0,0.0,9.25,20.25,18.0
327,mee6 play music,0.0,3.0,22.25,46.2,30.25,46.5,18.8,45.25,19.25,24.2,13.25,3.25,0.0
328,music discord bot,43.0,40.0,42.0,59.8,50.5,40.25,38.8,79.75,55.25,46.4,43.25,52.5,51.5
329,mee6 add,83.0,51.0,38.5,27.4,46.0,37.0,42.0,40.0,33.0,40.2,22.25,41.0,29.25
330,how to add mee6,22.0,11.25,8.0,10.4,16.25,10.5,12.2,8.5,12.0,19.6,5.75,17.25,29.25
331,star symbol,61.0,68.75,71.0,66.2,69.0,71.0,71.6,68.75,69.75,77.8,79.25,73.75,77.0
332,font changer,80.0,80.25,80.25,80.0,81.75,81.75,88.6,91.0,77.0,77.0,78.25,71.75,75.5
333,discord server template,70.0,68.25,70.5,58.0,48.75,69.25,63.2,56.0,45.75,55.6,58.5,65.75,55.25
334,youtube discord bot,22.0,26.25,26.0,73.0,46.5,38.75,38.8,49.25,38.25,36.4,28.0,38.25,34.75
335,discord rythm bot commands,0.0,24.75,4.25,20.0,13.25,8.0,17.2,29.0,16.25,34.8,5.5,22.75,46.25
336,rythm bot commands,10.0,7.0,6.5,1.6,4.5,7.75,3.2,18.5,11.75,7.0,12.0,4.75,25.0
337,rythm bot discord,52.0,42.75,30.5,44.0,61.0,32.5,63.4,92.25,50.75,27.0,37.25,38.5,41.0
338,rythm commands,41.0,15.75,13.5,17.0,34.5,15.5,24.2,48.0,38.25,15.0,22.75,32.25,0.0
339,hydra bot commands,11.0,9.0,16.75,10.6,12.25,10.0,4.6,12.5,4.25,3.8,8.5,0.0,27.0
340,discord bot commands not working,0.0,7.25,24.25,13.8,11.75,5.75,11.4,6.5,9.5,24.6,9.25,3.0,10.0
